OrderID,OrderDate,Customer,Region,Segment,Category,Sub-Category,ProductName,Price,Quantity,Discount,Sales,Profit,ShippingMode,State
ORD-111138,3/26/2022,Chris Smith,Central,Consumer,Office Supplies,Writing,Writing - Model 737,1,4,0,4,-32.07,Second Class,Florida
ORD-106333,5/12/2021,Skyler Brown,West,Corporate,Office Supplies,Storage,Storage - Model 614,1.09,2,0,2.18,-31.07,First Class,Georgia
ORD-100724,8/21/2021,Robin Garcia,North,Corporate,Office Supplies,Storage,Storage - Model 909,1,5,0.05,4.75,-21.19,Same Day,Illinois
ORD-102119,2/7/2024,Riley Davis,South,Home Office,Furniture,Furnishings,Furnishings - Model 657,158.36,3,0,475.08,173.42,Second Class,California
ORD-111920,4/27/2023,Alex Johnson,South,Home Office,Office Supplies,Writing,Writing - Model 826,76.13,2,0,152.26,65.57,Standard Class,Illinois
ORD-101655,4/18/2025,Sam Wilson,Central,Corporate,Technology,Copiers,Copiers - Model 399,132.2,4,0.1,475.92,158.01,Same Day,Texas
ORD-104367,2/12/2021,Morgan Smith,North,Corporate,Office Supplies,Paper,Paper - Model 335,36.23,4,0.05,137.67,58.06,Standard Class,Illinois
ORD-103366,10/1/2020,Morgan Miller,East,Consumer,Technology,Machines,Machines - Model 581,100.47,6,0,602.82,252.14,Standard Class,Texas
ORD-103784,2/4/2023,Skyler Miller,North,Home Office,Office Supplies,Writing,Writing - Model 457,67.48,5,0,337.4,105.76,Second Class,Florida
ORD-105405,4/30/2024,Robin Jones,West,Home Office,Office Supplies,Writing,Writing - Model 603,46.27,6,0.05,263.74,71.58,Same Day,Ohio
ORD-105651,2/26/2022,Taylor Wilson,West,Consumer,Furniture,Tables,Tables - Model 731,88.86,5,0,444.3,169.95,Standard Class,Illinois
ORD-107068,4/27/2020,Alex Davis,West,Corporate,Office Supplies,Writing,Writing - Model 637,55.55,3,0,166.65,72.36,Second Class,California
ORD-108813,10/24/2020,Jordan Williams,East,Consumer,Office Supplies,Writing,Writing - Model 276,1,3,0.05,2.85,-1.48,Same Day,California
ORD-108405,6/13/2020,Morgan Davis,West,Home Office,Office Supplies,Writing,Writing - Model 695,1,2,0,2,-0.97,Standard Class,California
ORD-104192,4/30/2021,Jamie Williams,North,Corporate,Technology,Accessories,Accessories - Model 477,185.64,6,0,1113.84,438.45,Same Day,Pennsylvania
ORD-104055,1/12/2020,Skyler Garcia,Central,Corporate,Technology,Accessories,Accessories - Model 891,59.66,5,0,298.3,133.22,Same Day,California
ORD-102627,3/24/2022,Morgan Rodriguez,East,Consumer,Office Supplies,Storage,Storage - Model 252,1,2,0,2,51.3,Second Class,Florida
ORD-105382,7/30/2020,Morgan Davis,South,Home Office,Furniture,Bookcases,Bookcases - Model 206,1,4,0,4,-36.84,Second Class,New York
ORD-107624,5/19/2021,Riley Garcia,East,Corporate,Furniture,Tables,Tables - Model 128,121.03,4,0,484.12,184.95,Second Class,New York
ORD-109947,8/8/2020,Riley Johnson,East,Consumer,Office Supplies,Paper,Paper - Model 699,1,2,0.05,1.9,-3.58,Same Day,Illinois
ORD-107731,4/16/2020,Casey Williams,North,Home Office,Office Supplies,Storage,Storage - Model 876,19.38,4,0,77.52,35.09,First Class,Florida
ORD-105467,9/29/2023,Kim Davis,Central,Home Office,Furniture,Tables,Tables - Model 730,40.03,4,0,160.12,73.88,Standard Class,Ohio
ORD-109786,3/6/2020,Sam Jones,South,Corporate,Office Supplies,Binders,Binders - Model 937,24.21,4,0,96.84,50.19,First Class,Michigan
ORD-110825,5/8/2021,Skyler Brown,North,Home Office,Technology,Phones,Phones - Model 189,158.03,3,0.15,402.98,115.29,First Class,North Carolina
ORD-105302,10/1/2022,Dana Davis,South,Consumer,Furniture,Tables,Tables - Model 154,104.65,3,0,313.95,143.75,Standard Class,Illinois
ORD-102615,3/16/2020,Taylor Rodriguez,South,Consumer,Technology,Accessories,Accessories - Model 433,148.8,3,0,446.4,166.13,Second Class,North Carolina
ORD-101039,9/22/2020,Alex Jones,North,Corporate,Technology,Copiers,Copiers - Model 354,104.17,3,0,312.51,147.5,Standard Class,Texas
ORD-108161,4/4/2020,Alex Johnson,North,Corporate,Technology,Copiers,Copiers - Model 367,149.22,2,0,298.44,125.3,Standard Class,Michigan
ORD-107499,2/12/2022,Alex Davis,Central,Corporate,Office Supplies,Storage,Storage - Model 701,1,5,0,5,15.46,Standard Class,New York
ORD-103742,9/17/2022,Casey Wilson,East,Home Office,Technology,Accessories,Accessories - Model 480,1,1,0,1,0.44,Same Day,North Carolina
ORD-111713,1/2/2021,Sam Jones,East,Corporate,Office Supplies,Paper,Paper - Model 245,105.58,5,0.05,501.5,155.59,Same Day,California
ORD-103975,6/30/2024,Kim Miller,South,Home Office,Technology,Phones,Phones - Model 637,206.57,2,0,413.14,143.09,Same Day,New York
ORD-107346,2/28/2021,Riley Rodriguez,Central,Corporate,Furniture,Bookcases,Bookcases - Model 637,210.48,4,0,841.92,331.11,First Class,Georgia
ORD-101839,6/27/2020,Morgan Rodriguez,Central,Home Office,Office Supplies,Binders,Binders - Model 327,6.08,3,0,18.24,-19.45,Same Day,North Carolina
ORD-111272,8/3/2021,Pat Wilson,West,Home Office,Office Supplies,Paper,Paper - Model 424,63.72,3,0.05,181.6,68.68,Second Class,Illinois
ORD-104053,2025-13-01,Riley Davis,South,Home Office,Technology,Copiers,Copiers - Model 473,135.9,7,0.1,856.17,307.63,Same Day,Ohio
ORD-101883,9/29/2022,Kim Rodriguez,Central,Consumer,Furniture,Tables,Tables - Model 528,?,3,0,85.89,36.51,First Class,Michigan
ORD-100360,12/9/2020,Dana Wilson,South,Home Office,Technology,Machines,Machines - Model 608,104.18,5,0.05,494.86,184.4,Same Day,Illinois
ORD-110325,7/13/2020,Pat Garcia,East,Consumer,Office Supplies,Storage,Storage - Model 765,15.17,3,0,45.51,30.06,Same Day,Georgia
ORD-101178,9/28/2022,Jordan Williams,East,Consumer,Office Supplies,Storage,Storage - Model 425,28.47,5,0.15,121,47.28,First Class,North Carolina
ORD-111018,12/21/2020,Robin Jones,West,Home Office,Furniture,Furnishings,Furnishings - Model 639,150.63,3,0,451.89,180.37,Second Class,New York
ORD-109941,2/8/2020,Skyler Garcia,South,Corporate,Technology,Copiers,Copiers - Model 637,55.6,3,0.05,158.46,59.52,Second Class,North Carolina
ORD-110466,1/21/2021,Pat Williams,West,Home Office,Technology,Phones,Phones - Model 451,119.07,7,0,833.49,350.4,Second Class,California
ORD-108302,5/13/2022,Robin Smith,East,Home Office,Office Supplies,Paper,Paper - Model 611,1,4,0,4,5.21,Same Day,Illinois
ORD-109176,7/3/2020,Jamie Rodriguez,North,Consumer,Furniture,Furnishings,Furnishings - Model 167,123.81,4,0,495.24,202.31,Same Day,Illinois
ORD-111228,8/5/2020,Dana Davis,South,Corporate,Furniture,Chairs,Chairs - Model 367,148.32,4,0.15,504.29,154.13,Second Class,Michigan
ORD-103210,5/2/2020,Dana Miller,South,Corporate,Technology,Accessories,Accessories - Model 163,83.69,5,0,418.45,180.45,Standard Class,Illinois
ORD-110597,10/20/2021,Taylor Wilson,North,Corporate,Technology,Machines,Machines - Model 943,166.68,4,0,666.72,268.72,Same Day,Ohio
ORD-105824,5/13/2020,Pat Brown,East,Consumer,Furniture,Furnishings,Furnishings - Model 940,45.36,8,0.1,326.59,128.18,First Class,Illinois
ORD-102254,1/18/2024,Jordan Smith,Central,Corporate,Technology,Accessories,Accessories - Model 248,113.7,1,0,113.7,18.88,First Class,New York
ORD-103910,1/29/2020,Riley Garcia,West,Home Office,Technology,Phones,Phones - Model 561,152.14,1,0,152.14,30.1,First Class,Michigan
ORD-100668,5/24/2020,Lee Miller,South,Consumer,Office Supplies,Storage,Storage - Model 419,52.74,2,0.2,84.38,32.13,Second Class,Illinois
ORD-107532,6/27/2020,Lee Jones,North,Consumer,Office Supplies,Binders,Binders - Model 104,34.71,3,0,104.13,34.54,Second Class,New York
ORD-103891,6/14/2021,Jordan Rodriguez,East,Consumer,Office Supplies,Writing,Writing - Model 647,14.63,3,0,43.89,-14.64,Standard Class,North Carolina
ORD-103288,6/12/2024,Morgan Smith,West,Corporate,Office Supplies,Writing,Writing - Model 923,107.19,3,0.1,289.41,79.58,Second Class,Ohio
ORD-108124,8/21/2020,Skyler Johnson,South,Corporate,Office Supplies,Binders,Binders - Model 268,81.25,5,0.05,385.94,142.31,First Class,Pennsylvania
ORD-106870,5/4/2021,Jordan Rodriguez,South,Home Office,Furniture,Tables,Tables - Model 271,1,2,0,2,40.29,Standard Class,New York
ORD-104742,1/26/2020,Morgan Garcia,West,Corporate,Technology,Phones,Phones - Model 280,149.19,5,0,745.95,274.23,Second Class,Ohio
ORD-106369,5/26/2023,Robin Garcia,West,Home Office,Technology,Machines,Machines - Model 679,68.07,4,0.05,258.67,75.97,Standard Class,Illinois
ORD-109240,10/12/2020,Skyler Jones,West,Home Office,Technology,Phones,Phones - Model 155,136.54,4,0.15,464.24,155.89,First Class,North Carolina
ORD-107067,4/26/2021,Lee Wilson,South,Home Office,Furniture,Bookcases,Bookcases - Model 488,155.11,1,0,155.11,31.2,First Class,California
ORD-107443,12/25/2021,Riley Williams,South,Corporate,Furniture,Furnishings,Furnishings - Model 265,50.26,4,0.15,170.88,59.97,Second Class,New York
ORD-103853,5/5/2025,Jordan Jones,Central,Home Office,Technology,Phones,Phones - Model 101,248.99,4,0,995.96,385.47,Standard Class,California
ORD-107249,3/17/2023,Jamie Rodriguez,North,Corporate,Office Supplies,Binders,Binders - Model 992,70.8,4,0,283.2,132.87,Same Day,Georgia
ORD-100379,8/19/2020,Lee Miller,South,Home Office,Technology,Accessories,Accessories - Model 719,93.88,3,0,281.64,108.51,First Class,Florida
ORD-100914,7/16/2021,Taylor Williams,West,Consumer,Technology,Copiers,Copiers - Model 814,169.48,5,0,847.4,358.52,First Class,California
ORD-102678,3/23/2020,Chris Davis,Central,Corporate,Office Supplies,Paper,Paper - Model 133,1,7,0.15,5.95,58.97,First Class,Florida
ORD-109803,2/27/2022,Casey Williams,Central,Consumer,Technology,Phones,Phones - Model 761,35.53,7,0,248.71,126.09,First Class,Texas
ORD-102564,12/26/2020,Alex Williams,West,Consumer,Office Supplies,Binders,Binders - Model 822,65.82,7,0.1,414.67,122.79,Same Day,Florida
ORD-104929,10/27/2024,Jordan Rodriguez,West,Consumer,Technology,Machines,Machines - Model 424,162.04,4,0,648.16,283.92,First Class,Texas
ORD-111733,3/27/2021,Jamie Garcia,South,Consumer,Technology,Accessories,Accessories - Model 585,80.4,3,0.1,217.08,81.96,First Class,Pennsylvania
ORD-101718,11/20/2027,Robin Rodriguez,South,Home Office,Office Supplies,Paper,Paper - Model 341,42.46,4,0.15,144.36,31.59,Standard Class,North Carolina
ORD-100135,9/30/2020,Pat Davis,North,Consumer,Office Supplies,Binders,Binders - Model 497,40.06,5,0,200.3,81.97,Second Class,North Carolina
ORD-101864,1/3/2028,Jamie Rodriguez,South,Corporate,Office Supplies,Paper,Paper - Model 622,100.53,5,0,502.65,198.3,Standard Class,Michigan
ORD-104288,10/23/2020,Casey Davis,East,Consumer,Furniture,Tables,Tables - Model 563,89.75,4,0,359,108.75,First Class,Florida
ORD-100624,11/5/2021,Riley Garcia,East,Consumer,Office Supplies,Paper,Paper - Model 719,97.04,3,0,291.12,102.27,First Class,Pennsylvania
ORD-106676,12/4/2021,Morgan Jones,Central,Corporate,Technology,Phones,Phones - Model 716,129.87,5,0.15,551.95,162.13,Second Class,North Carolina
ORD-109548,3/20/2021,Casey Wilson,East,Corporate,Office Supplies,Paper,Paper - Model 744,32.92,3,0.05,93.82,37.2,Same Day,North Carolina
ORD-111113,2/1/2021,Kim Miller,East,Corporate,Technology,Machines,Machines - Model 656,90.43,4,0.1,325.55,124.88,First Class,Georgia
ORD-108235,7/9/2021,Alex Brown,East,Corporate,Furniture,Chairs,Chairs - Model 603,9.38,3,0,28.14,12.76,Second Class,Georgia
ORD-108515,7/22/2020,Pat Williams,Central,Corporate,Office Supplies,Storage,Storage - Model 243,34.61,8,0,276.88,97.31,First Class,New York
ORD-109613,3/18/2020,Skyler Miller,Central,Consumer,Technology,Phones,Phones - Model 513,162.2,5,0,811,334.04,Second Class,Georgia
ORD-109445,2/1/2020,Alex Wilson,East,Consumer,Office Supplies,Binders,Binders - Model 610,25.69,,0.05,122.03,63.35,Standard Class,North Carolina
ORD-108893,4/21/2021,Dana Williams,East,Consumer,Technology,Machines,Machines - Model 977,187.71,7,0.1,1182.57,392.38,Second Class,Florida
ORD-111231,10/20/2021,Kim Wilson,East,Corporate,Furniture,Bookcases,Bookcases - Model 445,40.5,3,0,121.5,29.59,Standard Class,Florida
ORD-109948,5/16/2021,Taylor Garcia,East,Corporate,Office Supplies,Writing,Writing - Model 305,125.81,5,0,629.05,242.22,Same Day,North Carolina
ORD-104746,5/27/2020,Riley Williams,West,Consumer,Technology,Machines,Machines - Model 835,141.58,1,0,141.58,54.81,Second Class,North Carolina
ORD-107364,4/2/2021,,North,Corporate,Office Supplies,Storage,Storage - Model 352,18.08,4,0,72.32,14.42,Second Class,Pennsylvania
ORD-102991,1/31/2023,Casey Rodriguez,East,Consumer,Office Supplies,Binders,Binders - Model 359,88.9,4,0.15,302.26,99.14,Same Day,Ohio
ORD-110986,1/27/2020,Alex Davis,Central,Consumer,Office Supplies,Writing,Writing - Model 824,1,3,0.15,2.55,-27.38,Standard Class,Florida
ORD-106719,8/28/2020,Casey Miller,Central,Corporate,Technology,Copiers,Copiers - Model 517,64,5,0,320,125.19,Standard Class,North Carolina
ORD-107900,8/25/2021,Morgan Davis,West,Corporate,Furniture,Chairs,Chairs - Model 280,163.25,4,0,653,277.67,Second Class,California
ORD-109940,5/7/2025,Lee Williams,East,Home Office,Furniture,Furnishings,Furnishings - Model 313,93.64,5,0,468.2,199.84,Second Class,Florida
ORD-103499,7/25/2022,Dana Williams,East,Consumer,Technology,Machines,Machines - Model 539,130.93,6,0,785.58,306.86,First Class,Michigan
ORD-100700,6/16/2021,Morgan Rodriguez,Central,Consumer,Office Supplies,Paper,Paper - Model 608,79.8,4,0,319.2,103.83,Same Day,Ohio
ORD-102955,4/10/2022,Jamie Wilson,West,Consumer,Office Supplies,Binders,Binders - Model 206,29.3,3,0.2,70.32,38.22,Same Day,Georgia
ORD-106849,2/22/2020,Dana Williams,Central,Home Office,Office Supplies,Paper,Paper - Model 202,51.8,3,0,155.4,60.46,Same Day,Texas
ORD-100070,11/1/2022,Dana Davis,East,Consumer,Office Supplies,Binders,Binders - Model 154,35.71,3,0,107.13,48.56,Second Class,Georgia
ORD-105747,6/29/2027,Jamie Jones,South,Consumer,Office Supplies,Storage,Storage - Model 766,1,5,0,5,-5.92,First Class,Illinois
ORD-106153,2/15/2020,Lee Garcia,East,Home Office,Furniture,Chairs,Chairs - Model 127,171.32,3,0,513.96,182.21,Standard Class,California
ORD-104429,1/22/2023,Jamie Brown,South,Corporate,Office Supplies,Binders,Binders - Model 988,11.79,3,0,35.37,-0.92,Same Day,Michigan
ORD-107977,9/18/2022,Morgan Miller,East,Corporate,Furniture,Tables,Tables - Model 118,73.28,4,0,293.12,104.92,Standard Class,North Carolina
ORD-107859,6/2/2020,Pat Smith,Central,Consumer,Office Supplies,Writing,Writing - Model 181,1,2,0,2,-17.7,Same Day,New York
ORD-106211,4/2/2020,Chris Smith,South,Consumer,Furniture,Tables,Tables - Model 954,98.91,7,0,692.37,248.74,Same Day,North Carolina
ORD-104607,5/21/2020,Robin Garcia,West,Home Office,Technology,Accessories,Accessories - Model 817,153.12,6,0.1,826.85,252.51,Same Day,Texas
ORD-102227,9/30/2021,Taylor Johnson,Central,Corporate,Furniture,Tables,Tables - Model 530,54.94,3,0,164.82,55.2,Second Class,California
ORD-108318,9/27/2023,Alex Williams,West,Consumer,Furniture,Chairs,Chairs - Model 189,124.95,3,0,374.85,124.83,Second Class,New York
ORD-100937,9/15/2024,Morgan Smith,East,Corporate,Furniture,Chairs,Chairs - Model 316,35.8,3,0,107.4,60,Same Day,Georgia
ORD-102388,5/5/2022,Jordan Jones,West,Consumer,Office Supplies,Paper,Paper - Model 562,1,4,0,4,-6.69,First Class,New York
ORD-103524,5/8/2020,Taylor Wilson,North,Home Office,Office Supplies,Binders,Binders - Model 191,1,2,0,2,-27.87,Second Class,Florida
ORD-103325,9/2/2022,Riley Brown,East,Consumer,Office Supplies,Binders,Binders - Model 411,51.89,5,0,259.45,99.32,Standard Class,Illinois
ORD-100149,8/16/2020,Sam Smith,North,Corporate,Office Supplies,Storage,Storage - Model 624,1,3,0,3,46.37,Standard Class,Texas
ORD-102585,11/17/2021,Jordan Wilson,South,Home Office,Office Supplies,Storage,Storage - Model 229,1,5,0.05,4.75,12.59,Same Day,North Carolina
ORD-107732,1/1/2020,Casey Wilson,Central,Consumer,Office Supplies,Paper,Paper - Model 573,1,3,0.1,2.7,-20.83,First Class,New York
ORD-101941,10/11/2020,Casey Brown,North,Consumer,Office Supplies,Binders,Binders - Model 476,1,5,0,5,-2.6,Second Class,New York
ORD-108287,1/13/2020,Kim Smith,South,Home Office,Office Supplies,Storage,Storage - Model 298,2.12,5,0,10.6,18.2,Standard Class,Pennsylvania
ORD-101219,8/11/2020,Riley Miller,North,Home Office,Office Supplies,Binders,Binders - Model 381,1,5,0,5,-15.59,First Class,Georgia
ORD-111451,11/11/2021,Robin Williams,South,Corporate,Technology,Machines,Machines - Model 107,63.87,3,0,191.61,53.74,First Class,Georgia
ORD-105611,2/16/2022,Kim Brown,South,Corporate,Office Supplies,Writing,Writing - Model 797,74.55,4,0.05,283.29,98.34,First Class,Illinois
ORD-109421,7/11/2021,Sam Williams,West,Corporate,Furniture,Bookcases,Bookcases - Model 933,119.46,2,0,238.92,93.67,Same Day,Florida
ORD-106865,9/10/2020,Dana Miller,Central,Home Office,Furniture,Chairs,Chairs - Model 415,49.16,4,0,196.64,63.32,Second Class,North Carolina
ORD-107248,5/4/2020,Morgan Jones,South,Corporate,Technology,Accessories,Accessories - Model 937,124.83,4,0.05,474.35,166.01,Second Class,New York
ORD-102088,4/23/2023,Sam Brown,South,Consumer,Furniture,Tables,Tables - Model 817,1,6,0,6,1.64,Standard Class,Florida
ORD-103817,4/29/2023,Alex Garcia,North,Corporate,Technology,Accessories,Accessories - Model 997,23.11,5,0.05,109.77,53.22,First Class,Georgia
ORD-110418,1/14/2021,Alex Wilson,West,Home Office,Office Supplies,Paper,Paper - Model 431,151.78,3,0.2,364.27,84.05,Standard Class,Texas
ORD-110479,11/3/2020,Skyler Wilson,North,Corporate,Furniture,Furnishings,Furnishings - Model 463,155.3,5,0,776.5,343.47,Same Day,Ohio
ORD-111979,8/13/2020,Pat Brown,South,Consumer,Technology,Phones,Phones - Model 750,297.37,3,0,892.11,335.71,Same Day,Michigan
ORD-105835,9/25/2021,Riley Miller,East,Home Office,Furniture,Furnishings,Furnishings - Model 633,66.98,6,0,401.88,152.01,Second Class,Texas
ORD-108721,9/7/2022,Alex Smith,Central,Home Office,Office Supplies,Storage,Storage - Model 923,1,7,0.1,6.3,-11.45,Standard Class,Georgia
ORD-106728,3/30/2026,Riley Smith,Central,Home Office,Furniture,Bookcases,Bookcases - Model 938,23.82,4,0,95.28,42.22,Standard Class,Georgia
ORD-110766,9/11/2021,Sam Jones,South,Home Office,Furniture,Tables,Tables - Model 876,1,5,0.05,4.75,7.97,First Class,Ohio
ORD-111049,2025-13-01,Morgan Smith,West,Home Office,Technology,Accessories,Accessories - Model 239,119.67,4,0,478.68,180.88,Second Class,Florida
ORD-108830,10/21/2020,Casey Wilson,South,Corporate,Technology,Copiers,Copiers - Model 328,103.13,6,0.1,556.9,192.18,Same Day,North Carolina
ORD-104862,2/20/2020,Dana Miller,Central,Home Office,Office Supplies,Writing,Writing - Model 506,25.53,1,0.1,22.98,-3.3,Standard Class,Georgia
ORD-105349,4/6/2022,Kim Williams,West,Consumer,Furniture,Bookcases,Bookcases - Model 169,62.82,2,0,125.64,32.67,Same Day,California
ORD-107522,7/29/2021,Pat Wilson,Central,Consumer,Office Supplies,Binders,Binders - Model 670,47.92,2,0.05,91.05,45.83,Second Class,Illinois
ORD-102087,1/18/2022,Chris Brown,North,Home Office,Office Supplies,Paper,Paper - Model 409,1,3,0,3,40.17,Standard Class,Illinois
ORD-102337,11/18/2020,Jordan Jones,West,Home Office,Technology,Machines,Machines - Model 589,156.68,3,0,470.04,200.78,Second Class,Florida
ORD-107087,11/5/2021,Dana Davis,South,Corporate,Technology,Phones,Phones - Model 735,161.16,4,0,644.64,243.47,Same Day,Illinois
ORD-108673,6/17/2020,Riley Miller,South,Corporate,Office Supplies,Paper,Paper - Model 543,78.75,6,0,472.5,192.69,Second Class,Ohio
ORD-108976,10/6/2020,Morgan Davis,Central,Home Office,Furniture,Bookcases,Bookcases - Model 724,120.38,3,0,361.14,155.86,Same Day,New York
ORD-108127,3/13/2025,Jamie Smith,West,Corporate,Furniture,Furnishings,Furnishings - Model 278,142.03,2,0.1,255.65,99.52,Same Day,Florida
ORD-108637,3/3/2021,Kim Davis,South,Corporate,Office Supplies,Writing,Writing - Model 796,1,2,0,2,-17.83,Second Class,Florida
ORD-101427,10/23/2025,Morgan Miller,East,Corporate,Technology,Copiers,Copiers - Model 624,153.8,4,0,615.2,229.65,Standard Class,California
ORD-107148,2/13/2021,Morgan Miller,South,Corporate,Furniture,Chairs,Chairs - Model 264,118.85,5,0,594.25,212.21,Same Day,Illinois
ORD-103461,4/28/2020,Casey Johnson,South,Home Office,Technology,Accessories,Accessories - Model 354,25.02,2,0,50.04,12.95,First Class,Georgia
ORD-100424,2/11/2020,Jamie Rodriguez,North,Home Office,Office Supplies,Writing,Writing - Model 503,1,3,0.05,2.85,-1.59,First Class,Illinois
ORD-101697,4/11/2020,Sam Williams,East,Consumer,Office Supplies,Binders,Binders - Model 764,1,3,0,3,28.11,Second Class,Illinois
ORD-105453,1/5/2021,Jordan Johnson,West,Corporate,Furniture,Bookcases,Bookcases - Model 272,64.29,4,0,257.16,114.7,First Class,Michigan
ORD-105419,9/27/2020,Dana Davis,North,Home Office,Office Supplies,Writing,Writing - Model 124,14.74,3,0.05,42.01,8.72,First Class,New York
ORD-104064,11/5/2023,Chris Wilson,West,Corporate,Furniture,Furnishings,Furnishings - Model 213,47.66,3,0.05,135.83,63.14,Same Day,Georgia
ORD-109864,4/6/2022,Skyler Rodriguez,West,Corporate,Office Supplies,Storage,Storage - Model 523,3.25,5,0.05,15.44,-9.45,Standard Class,Michigan
ORD-109683,4/14/2023,Riley Smith,East,Consumer,Furniture,Chairs,Chairs - Model 168,117.37,2,0,234.74,117.2,Same Day,California
ORD-107433,6/14/2020,Jamie Rodriguez,West,Home Office,Office Supplies,Writing,Writing - Model 753,14.57,1,0,14.57,17.84,Same Day,California
ORD-110332,3/6/2020,Alex Smith,Central,Home Office,Office Supplies,Storage,Storage - Model 730,98.22,6,0.1,530.39,174.22,Standard Class,Illinois
ORD-110315,6/15/2021,Chris Miller,East,Consumer,Furniture,Furnishings,Furnishings - Model 316,89.32,1,0.05,84.85,46.27,Second Class,Georgia
ORD-108309,5/12/2021,Casey Williams,South,Consumer,Technology,Accessories,Accessories - Model 532,63.43,4,0.05,241.03,108.58,Second Class,New York
ORD-101068,11/2/2020,Pat Johnson,North,Consumer,Technology,Copiers,Copiers - Model 597,129.18,5,0.05,613.6,229.42,Second Class,North Carolina
ORD-107675,8/26/2021,Chris Brown,West,Corporate,Office Supplies,Writing,Writing - Model 390,1,5,0,5,-24.75,First Class,New York
ORD-102012,7/16/2024,Pat Davis,East,Home Office,Office Supplies,Paper,Paper - Model 876,95.3,3,0,285.9,63.79,Standard Class,North Carolina
ORD-106817,3/1/2025,Chris Garcia,North,Home Office,Furniture,Furnishings,Furnishings - Model 142,114.08,1,0,114.08,50.29,First Class,Michigan
ORD-105597,3/14/2022,Pat Brown,East,Home Office,Furniture,Furnishings,Furnishings - Model 797,176.18,6,0,1057.08,442.05,First Class,Pennsylvania
